PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,LOTAREA,YEARBLT,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,Computed lot size,Zillow lot size,Observed stories,Observed quality/condition,Interior condition (Zillow),Zillow year built,Zillow bedroom count,Zillow full baths count,Zillow half baths count,Zillow building square footage
0037D00004000000,1108,,GREENLAWN DR,PITTSBURGH,PA,,15220,7959,1957,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,2,0,1308,7969.884,7959,1+attic+garage,Typical,,1957,3,2,0,1308
0062M00298000000,643,,PERRILYN ST,PITTSBURGH,PA,,15226,4950,1950,C-,AVERAGE -,4,FAIR,AV,AVERAGE,3,1,0,875,4425.23,4950,1+garage,Typical,,1950,3,1,0,875
0885R00032000000,1929,,RIGGS RD,SOUTH PARK,PA,,15129,6980,1974,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,1,1228,24880.97,6980,"2, maybe 1 with an attic",Pretty good,Old but solid,1974,3,1,1,1228
0222P00051000000,14,-16,KITTANNING ST,PITTSBURGH,PA,,15223,4470,1910,D+,BELOW AVERAGE +,5,POOR,PR,POOR,6,4,0,4179,4354.267,,2,Typical,,1910,6,4,0,4179
1003L00217000000,2005,,WHITFIELD LN,FINLEYVILLE,PA,,15332,16515,1981,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,2,0,2092,16238.19,16552.8,2? hard to see,Typical,,1981,3,2,0,2092
0610E00051000000,8053,,BROADLAWN DR,PITTSBURGH,PA,,15237,11036,1978,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,4,2,1,1920,11031.89,10890,2+garage,Pretty good,Pretty good,1978,4,2,1,1920
0627N00158000000,108,A,SHADY AVE,CHESWICK,PA,,15024,4267,1955,D+,BELOW AVERAGE +,3,AVERAGE,AV,AVERAGE,2,1,0,828,4448.455,4267,2,Pretty good,,1955,2,1,0,828
0560B00075000000,1642,,CLAIRTON RD,WEST MIFFLIN,PA,,15122,42560,1940,C+,AVERAGE +,2,GOOD,GD,GOOD,3,1,1,2250,44723.82,42688.8,2+attic,Pretty good,,1940,3,1,1,2250
0038R00004000000,146,,W MANILLA AVE,PITTSBURGH,PA,,15220,12632,1998,B-,GOOD -,3,AVERAGE,AV,AVERAGE,4,2,1,2000,11837.06,12632.4,2+garage,Fancy,,1998,4,3,1,2300
0466D00019000000,1706,,TRIMBLE AVE,MC KEESPORT,PA,,15133,6000,1900,D+,BELOW AVERAGE +,4,FAIR,FR,FAIR,2,1,0,1180,5794.358,6000,2,Typical,,1900,2,1,0,1180
0056R00067000000,228,,TROWBRIDGE ST,PITTSBURGH,PA,,15207,2875,1906,C,AVERAGE,4,FAIR,FR,FAIR,3,1,0,1468,2703.363,2875,2,Typical,,1906,3,1,0,1468
0126E00052000000,604,,HASTINGS ST,PITTSBURGH,PA,,15206,2400,1870,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,3,1,1,1936,2675.669,2400,2+attic,Typical,,1870,3,1,1,1936
