PARCEL_ID,PARCEL_ID_FROM_ADDRESS,PARCEL_ID_FROM_GEOMETRY,LISTING_ID,LATITUDE,LONGITUDE,ADDRESS,ZIP_CODE,PRICE,IS_VACANT
0002B00051000000,0002B00051000000,0002B00051000000,35891806,40.441414,-79.994705,600 Grant St,15219,,False
0392B00250000000,,0392B00250000000,35877408,40.344712,-80.027105,100 Broughton Rd,15102,,False
0056E00006000000,0056E00006000000,0056A00143000000,35862330,40.413833,-79.946601,4601 Lytle St,15207,,False
0002K00174000000,0002K00174000000,0002K00174000000,35787561,40.437597,-79.995299,564 Forbes Ave,15219,,False
0012K00018000000,,0012K00018000000,35759296,40.428313,-79.976964,2012 E Carson St,15203,,False
0374F00250000000,0374F00250000000,0374F00250000000,35537371,40.410575,-79.84327,801 Ardmore Blvd,15221,,True
0002A00183000000,0002A00183000000,0002A00183000000,35415022,40.442574,-79.996671,650 Smithfield St,15222,,False
0857M00289000000,0857M00289000000,0857M00289000000,35412010,40.427026,-79.752643,2550 Mosside Blvd,15146,,False
0012K00014000000,0012K00014000000,0012K00014000000,35384283,40.428434,-79.977501,2000 E Carson St,15203,,False
0002E00160000000,0002E00160000000,0002E00160000000,35238418,40.439118,-79.997393,437 Grant St,15219,,False
0028E00019000000,,0028E00019000000,35159792,40.438701,-79.962316,Fifth & Halket St,15213,,False
0107S00300000000,0107S00300000000,0107S00300000000,35011254,40.44401,-80.083195,2250 Roswell Dr,15205,,False
0008H00185000000,0008H00185000000,0008H00185000000,34951933,40.448838,-80.003277,20 E General Robinson St,15212,,False
0001D00098000000,0001D00098000000,0001D00098000000,34900457,40.442221,-80.002305,202 6th St,15222,,False
0006M00312115400,0006M00312115400,0006M00312A15400,34442954,40.438147,-80.019935,1 Trimont Ln,15211,,False
0203B00090000000,,0203B00090000000,34221749,40.430954,-80.126861,8 Penn Center West,15276,,False
0001M00004000000,0001M00004000000,0001M00004000000,33459202,40.437943,-80.003307,227 Fort Pitt Blvd,15222,,False
0250J00032000000,0250J00032000000,0250J00032000000,33362180,40.358873,-80.029168,4136 Library Rd,15234,,False
0028B00082000000,0028B00082000000,0028B00082000000,33058872,40.44092,-79.959139,3520 Fifth Ave,15213,,False
0002F00166000000,0002F00166000000,0002F00185000000,32917544,40.439285,-79.991548,112 Washington Pl,15219,,False
0373N00282000000,0373N00282000000,0373N00282000000,32888421,40.415124,-79.847567,2400 Ardmore Blvd,15221,,False
0545P00275000000,0545P00275000000,0545P00275000000,32781261,40.394839,-79.809964,1001 Airbrake Ave,15148,,False
0264D00210000000,,0264D00210000000,32579860,40.431731,-80.132939,1001-1007 Parkway View Dr,15205,,False
0012H00030000000,0012H00030000000,0012H00030000000,32441637,40.429904,-79.969836,2403 Sidney St,15203,,False
0255N00061000000,0255N00061000000,0255N00058000000,32378558,40.357271,-80.113078,606 Washington Ave,15017,,False
0323L00003000000,,0323L00003000000,32112211,40.349449,-80.120457,100 Emerson Ln,15017,,False
0390H00025000000,0390H00025000000,0390H00025000000,31863370,40.341737,-79.9849,5239 Brownsville Rd,15236,,True
0390H00025000000,0390H00025000000,0390H00025000000,31832837,40.342374,-79.984233,5239-5255 Brownsville Rd,15236,,False
0461N00175000000,,0461N00175000000,31598818,40.347151,-79.831502,3808-3812 Oneil Blvd,15132,,False
0256L00034000000,,0256L00034000000,31559084,40.360271,-80.121845,Newbury Market Drive,15017,,True
0481P00060000000,0481P00060000000,0481P00060000000,31547170,40.328223,-80.125646,850 Boyce Rd,15017,,False
0130E00300000300,0130E00300000300,0130A00030000000,31390165,40.412407,-79.912781,285 E Waterfront Dr,15120,,False
0571N00010000000,0571N00010000000,0571N00010000000,31381291,40.319285,-80.11511,2600 Boyce Plaza Rd,15241,,False
0012S00308000000,0012S00308000000,0012S00308000000,31280756,40.425752,-79.969951,2516 Jane St,15203,,False
0323G00004000000,0323G00004000000,0323G00004000000,31250839,40.351727,-80.123768,44 Abele Rd,15017,,False
0039H00150000000,0039H00150000000,0039H00150000000,31249784,40.429719,-80.052089,2121 Noblestown Rd,15205,,False
0130E00050000000,0130E00050000000,0130E00050000000,31159588,40.41151,-79.914632,205 E Waterfront Dr,15120,,False
0099A00048000A00,0099A00048000A00,0099A00048000A00,31048935,40.3935,-80.063713,1910 Cochran Rd,15220,,False
0320N00035000000,0320N00035000000,0320N00035000000,30818740,40.346709,-80.08322,1580 McLaughlin Run Rd,15241,,False
0799P00130000000,,0799P00130000000,30134573,40.433419,-80.242788,"1400 International Dr, Oakdale, PA 15071",15071,,False
0799R00110000000,,0799R00110000000,30134571,40.434201,-80.240607,"1500 International Dr, Oakdale, PA 15071",15071,,False
0799R00120000000,,0799R00120000000,30079725,40.432908,-80.24076,1200 International Drive - Building 1,15071,,False
0141F00032000000,0141F00032000000,0141F00021000000,29742081,40.381335,-80.044927,650 Washington Rd,15228,,False
0255C00001000000,0255C00001000000,0255C00001000000,29461727,40.364458,-80.103424,540 Mayer St,15017,,False
0086L00035000000,,0086L00035000000,29253355,40.437748,-79.922266,5816 Forbes Ave,15217,,False
0743H00312000000,0743H00312000000,0743H00312000000,29178974,40.439065,-79.769853,4099 William Penn Hwy,15146,,False
0265K00322000000,,0265K00322000000,29069756,40.438472,-80.140184,610 McMichael Rd,15205,,False
