CENSUS_TRACT,LAND_VALUE_PER_SQFT
605,35.526771574729445
703,75.04663995597737
705,92.70558251537561
708,88.54000110404596
902,42.73848598304087
903,42.98228869188639
1005,10.335552779491131
1011,53.80476465348463
1401,42.91956240913887
1402,26.120643826057286
603,54.01126535429425
709,67.66533196609197
1113,42.88309648848799
1114,32.837398949636466
9804,10.10167028628446
9805,40.12154883993489
9803,35.53282819943256
5627,69.95467703025083
9822,44.14120663441004
9807,28.24495176911123
9810,42.73848598304087
9812,69.95467703025083
9808,35.30335152010299
4705.01,18.03356963477213
9806,49.99818084068862
9809,10.014252342163667
4011,2.9091145200629813
5100,2.9204383018396385
5120,3.3261607675834712
5140,3.417953003411805
5151,3.9246449909061503
5152,6.081126851190093
5153,6.801374941329476
5161,23.24717825985892
5162,12.909660785941476
5170,4.133455226743611
5220,2.6627118245599983
5234,3.2939478415480825
5240,7.812509400194418
5251,10.895700488890455
5253,11.054327348058436
5509,4.001161989572435
5520,3.364629081272007
5521,2.7051403829401113
5522,2.8067762245180448
5604,16.998762958969518
5605,11.735728952492757
5523,3.7185227781613794
4752,6.151295513352105
4753.01,6.652709886921367
4950,1.0512843576914979
5213.02,2.771252383649028
5237.01,1.8359320421446157
5252,16.58698426680553
